Survived,Age,Fare,FamilySize,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
0,-0.5348911628688886,-0.5024451714361923,1,0,0,1,0,1,0,0,1
1,0.6683917564561223,0.7868452935884461,1,1,0,0,1,0,1,0,0
1,-0.23407043303763592,-0.4888542575852486,0,0,0,1,1,0,0,0,1
1,0.4427762090826827,0.4207302360686478,1,0,0,1,1,0,1,0,0
0,0.4427762090826827,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.47811642890864375,0,0,1,0,0,1,0,0,1
0,1.8716746757811333,0.395813560675251,0,0,0,1,0,1,1,0,0
0,-2.038994812025152,-0.22408312108167944,4,0,0,1,0,1,0,0,1
1,-0.15886525057982273,-0.4242561406845337,2,0,0,1,1,0,0,0,1
1,-1.136532622531394,-0.04295550208861426,1,1,0,0,1,0,0,1,0
1,-1.8885844471095259,-0.312172377522981,2,0,0,1,1,0,0,0,1
1,2.172495405612386,-0.11384570873513637,0,0,0,1,1,0,1,0,0
0,-0.685301527784515,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,0.7435969389139355,-0.01870931177853076,6,0,0,1,0,1,0,0,1
0,-1.136532622531394,-0.4902797934380587,0,0,0,1,1,0,0,0,1
1,1.9468798582389464,-0.3262666585535892,0,0,0,1,1,0,0,1,0
0,-2.038994812025152,-0.06199888922968463,5,0,1,0,0,1,0,0,1
1,0.06675029679361683,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,0.14195547925143,-0.2859972841804228,1,0,0,1,1,0,0,0,1
1,-0.5724937540977952,-0.5029485386158568,0,1,0,0,1,0,0,0,1
0,0.4427762090826827,-0.12491978668775715,0,0,0,1,0,1,0,1,0
1,0.36757102662486957,-0.3866707201133388,0,0,0,1,0,1,0,1,0
1,-1.061327440073581,-0.4867562231804066,0,0,1,0,1,0,0,0,1
1,-0.08366006812200955,0.06635974158478332,0,0,0,1,0,1,1,0,0
0,-1.5877637172782733,-0.22408312108167944,4,0,0,1,1,0,0,0,1
1,0.6683917564561223,-0.016444159470040135,6,0,0,1,1,0,0,0,1
0,-0.3092756154954491,-0.5029485386158568,0,1,0,0,0,1,0,0,1
0,-0.7605067102423282,4.647001076532463,5,0,0,1,0,1,1,0,0
1,-0.5724937540977952,-0.48977642625839407,0,0,1,0,1,0,0,0,1
0,-0.3092756154954491,-0.4894421904510968,0,0,0,1,0,1,0,0,1
0,0.8188021213717487,-0.09027201697708476,0,1,0,0,0,1,1,0,0
1,0.4427762090826827,2.301728820789,1,1,0,0,1,0,1,0,0
1,-0.5724937540977952,-0.49237782784290063,0,0,1,0,1,0,0,0,1
0,2.7741368652748912,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.08366006812200955,1.0060617003323709,1,1,0,0,0,1,1,0,0
0,0.969212486287375,0.39858208016340624,1,0,0,1,0,1,1,0,0
1,-0.3092756154954491,-0.5028639729296732,0,1,0,0,0,1,0,0,1
0,-0.6100963453267019,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.8357118927001413,-0.2859972841804228,2,0,0,1,1,0,0,0,1
1,-1.136532622531394,-0.42207354059350805,1,1,0,0,1,0,0,0,1
0,0.8188021213717487,-0.4576454924460446,1,0,0,1,1,0,0,0,1
0,-0.15886525057982273,-0.22559322262067316,1,0,0,1,1,0,0,1,0
0,-0.3092756154954491,-0.4894421904510968,0,1,0,0,0,1,0,0,1
1,-1.9637896295673392,0.18876253192945994,3,1,0,0,1,0,0,1,0
1,-0.7605067102423282,-0.48977642625839407,0,0,1,0,1,0,0,0,1
0,-0.3092756154954491,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.3363340021468808,1,0,1,0,0,1,0,0,1
1,-0.5724937540977952,-0.49237782784290063,0,0,1,0,1,0,0,0,1
0,-0.3092756154954491,-0.21191774308354583,2,1,0,0,0,1,0,0,1
0,-0.8357118927001413,-0.29002422161773944,1,0,0,1,1,0,0,0,1
0,-1.6629688997360863,0.1506737441786005,5,0,0,1,0,1,0,0,1
0,-0.6100963453267019,-0.4913710934835715,0,0,0,1,0,1,0,0,1
1,1.4956487634920672,0.8964967865378598,1,1,0,0,1,0,1,0,0
1,-0.008454885664196365,-0.12491978668775715,1,0,0,1,1,0,0,1,0
0,2.6989316828170784,0.5995101505357573,1,1,0,0,0,1,1,0,0
1,0.8188021213717487,0.06635974158478332,0,0,0,1,0,1,1,0,0
1,-0.6100963453267019,-0.43700743807979686,0,0,0,1,1,0,0,1,0
0,-0.04605747689310296,-0.5028639729296732,0,1,0,0,0,1,0,0,1
1,-1.8133792646517128,-0.08968408411123653,3,0,0,1,1,0,0,1,0
0,-1.3621481699048337,0.2958951755118318,7,0,0,1,0,1,0,0,1
0,-0.5348911628688886,-0.5028639729296732,0,1,0,0,0,1,0,0,1
1,0.6683917564561223,0.962353321387736,0,0,0,1,1,0,1,0,0
0,1.1948280336608146,1.0323213593611125,1,0,0,1,0,1,1,0,0
0,-1.8885844471095259,-0.08666388103324908,5,0,0,1,0,1,0,0,1
0,0.8188021213717487,-0.09027201697708476,0,1,0,0,0,1,1,0,0
1,-0.3092756154954491,-0.3414522396297103,2,1,0,0,0,1,0,0,1
1,-0.008454885664196365,-0.43700743807979686,0,0,0,1,1,0,0,1,0
0,-0.7605067102423282,-0.4841568350646187,0,0,0,1,0,1,0,0,1
1,-0.9109170751579546,-0.4888542575852486,6,0,0,1,1,0,0,0,1
0,-0.23407043303763592,-0.47400492578514347,2,0,0,1,0,1,0,0,1
0,0.2171606617092432,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.9861222576157678,0.2958951755118318,7,0,0,1,1,0,0,0,1
0,-0.6100963453267019,0.8314778546749452,0,0,0,1,0,1,0,1,0
0,-0.23407043303763592,-0.3573908580066095,1,1,0,0,0,1,0,0,1
1,0.2171606617092432,0.48910360681684706,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.494391296561559,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.4894421904510968,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.4863374216869257,0,0,0,1,0,1,0,0,1
1,-2.126984875500794,-0.06451572512800753,2,0,0,1,0,1,0,1,0
1,0.06675029679361683,-0.397241430886295,0,0,0,1,1,0,0,0,1
0,-0.5348911628688886,-0.46720946885967163,0,0,0,1,0,1,0,0,1
1,-0.008454885664196365,-0.45714212526638004,0,0,0,1,0,1,0,0,1
1,-0.5724937540977952,-0.49162277707340374,0,0,1,0,1,0,0,0,1
0,-0.08366006812200955,0.29992211294914856,0,0,0,1,0,1,1,0,0
1,-0.9109170751579546,-0.43700743807979686,0,0,0,1,1,0,0,1,0
1,0.29236584416705635,-0.32928686163157667,3,0,0,1,1,0,0,0,1
0,-0.9861222576157678,0.04370821849987721,4,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.4863374216869257,0,0,0,1,0,1,0,0,1
1,-0.45968598041107545,4.647001076532463,5,0,0,1,1,0,1,0,0
0,-0.3844807979532623,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.008454885664196365,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.685301527784515,-0.4902797934380587,0,0,0,1,0,1,0,0,1
0,1.2700332161186279,0.5833178351003071,1,0,0,1,0,1,1,0,0
0,-0.23407043303763592,-0.23415046467497105,3,0,0,1,0,1,0,0,1
0,2.2477005880701992,-0.5024451714361923,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,3.1501627775639576,0.0493298231623713,0,1,0,0,0,1,1,0,0
1,-0.45968598041107545,0.6272778976347743,1,1,0,0,0,1,1,0,0
1,0.36757102662486957,-0.18532384824750675,1,0,0,1,1,0,0,1,0
0,0.36757102662486957,-0.12491978668775715,1,0,0,1,0,1,0,1,0
0,-0.08366006812200955,-0.4894421904510968,0,0,0,1,1,0,0,0,1
0,-0.3092756154954491,-0.4894421904510968,0,0,0,1,0,1,0,0,1
0,-0.6100963453267019,0.907737982394129,1,0,0,1,0,1,1,0,0
0,0.29236584416705635,-0.4741720436887921,0,0,0,1,0,1,0,0,1
0,0.5931865739983091,-0.4888542575852486,2,0,0,1,0,1,0,0,1
0,-0.08366006812200955,-0.4894421904510968,0,0,0,1,0,1,0,0,1
1,-0.6100963453267019,-0.494391296561559,0,0,0,1,1,0,0,0,1
1,-0.3092756154954491,-0.4918744606632361,0,0,0,1,0,1,0,0,1
0,0.6683917564561223,-0.4894421904510968,0,0,0,1,0,1,0,0,1
1,-0.5724937540977952,-0.1621689579829361,1,0,1,0,1,0,0,0,1
0,1.345238398576441,0.39858208016340624,0,0,0,1,0,1,1,0,0
0,-1.0989300313024875,-0.3573908580066095,1,1,0,0,1,0,0,0,1
0,-0.5348911628688886,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.685301527784515,-0.4505983519307405,1,0,0,1,1,0,0,0,1
0,-0.9109170751579546,-0.3573083057891445,0,1,0,0,1,0,0,0,1
0,-0.6100963453267019,-0.4888542575852486,0,0,0,1,0,1,0,0,1
0,3.1125601863350507,-0.49237782784290063,0,0,1,0,0,1,0,0,1
0,-0.008454885664196365,-0.22559322262067316,1,0,0,1,0,1,0,1,0
0,-0.3844807979532623,4.335332226633905,1,1,0,0,0,1,1,0,0
0,-2.038994812025152,-0.01870931177853076,6,0,0,1,1,0,0,0,1
0,-0.6100963453267019,0.8314778546749452,2,0,0,1,0,1,0,1,0
0,-0.3092756154954491,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,0.2547632529381498,-0.04295550208861426,1,1,0,0,0,1,0,1,0
1,0.2547632529381498,-0.3866707201133388,0,0,0,1,1,0,0,1,0
0,1.8716746757811333,0.907737982394129,1,0,0,1,0,1,1,0,0
1,-1.2869429874470204,-0.42207354059350805,1,1,0,0,0,1,0,0,1
0,-0.3092756154954491,-0.49237782784290063,0,0,1,0,0,1,0,0,1
1,-0.3844807979532623,-0.5046257580584992,0,0,0,1,0,1,0,0,1
1,-0.5724937540977952,-0.19824427701513722,2,1,0,0,1,0,0,0,1
0,1.1948280336608146,-0.5079822104125026,0,0,0,1,0,1,0,0,1
0,0.29236584416705635,-0.4894421904510968,0,1,0,0,0,1,0,0,1
0,-0.685301527784515,-0.5064721088735089,0,0,0,1,0,1,0,0,1
0,1.345238398576441,-0.35646868933346404,1,0,0,1,1,0,0,0,1
1,-0.008454885664196365,-0.12491978668775715,1,0,0,1,1,0,0,1,0
0,-0.3092756154954491,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,-0.45968598041107545,-0.3454791770670269,0,1,0,0,0,1,0,1,0
1,-0.7605067102423282,-0.11921562980779811,2,0,0,1,1,0,1,0,0
0,0.5931865739983091,0.4207302360686478,1,0,0,1,0,1,1,0,0
0,-0.9861222576157678,-0.4628462821463391,0,0,0,1,0,1,0,0,1
0,-0.3844807979532623,0.9462455716384695,0,1,0,0,0,1,1,0,0
0,-0.5724937540977952,-0.3414522396297103,2,1,0,0,1,0,0,0,1
1,-0.5348911628688886,-0.49237782784290063,0,0,0,1,1,0,0,0,1
1,-0.3844807979532623,-0.32928686163157667,1,0,0,1,1,0,0,0,1
0,-0.7605067102423282,-0.5125125150294839,0,0,1,0,0,1,0,0,1
0,-0.8357118927001413,-0.41687275089321363,0,0,0,1,0,1,0,1,0
0,-0.7605067102423282,0.09152810056801232,2,0,0,1,0,1,0,1,0
1,-0.15886525057982273,-0.49145565916975514,0,0,0,1,0,1,0,0,1
0,-1.51255853482046,0.04370821849987721,4,0,0,1,1,0,0,0,1
0,0.5555839827694025,-0.12491978668775715,2,0,0,1,0,1,0,1,0
0,0.969212486287375,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,1.6460591284076938,-0.39623469652696586,0,0,0,1,0,1,0,1,0
1,-0.5348911628688886,0.6925485130875209,1,0,0,1,1,0,1,0,0
0,1.984482449467853,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,0.8564047126006552,-0.35646868933346404,2,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.5011867534870308,0,0,0,1,0,1,0,0,1
0,1.6460591284076938,0.5874293382238074,1,1,0,0,0,1,1,0,0
1,-0.9861222576157678,-0.49271407711891657,0,0,1,0,1,0,0,0,1
0,0.06675029679361683,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.47400492578514347,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,0.7519458402879414,10,0,0,1,0,1,0,0,1
0,1.1196228512030013,-0.32425318983493084,1,0,0,1,0,1,0,0,1
1,0.8188021213717487,-0.331300330350235,0,0,0,1,1,0,0,1,0
0,-0.23407043303763592,-0.4918744606632361,0,0,0,1,0,1,0,0,1
0,-0.9109170751579546,-0.47400492578514347,0,0,0,1,0,1,0,0,1
0,-2.1141999944829655,0.1506737441786005,5,0,0,1,0,1,0,0,1
1,-1.51255853482046,-0.2351571990343002,2,0,0,1,0,1,0,0,1
1,0.4427762090826827,0.4589861417231558,1,0,0,1,1,0,1,0,0
0,1.1948280336608146,-0.08666388103324908,5,0,0,1,1,0,0,0,1
0,0.8188021213717487,-0.12642988822675086,0,0,0,1,0,1,1,0,0
0,-0.08366006812200955,0.48910360681684706,0,0,0,1,0,1,0,0,1
0,2.3981109529858253,0.026090367211616904,0,0,0,1,0,1,1,0,0
0,-1.8885844471095259,-0.06199888922968463,5,0,1,0,0,1,0,0,1
1,-2.1141999944829655,-0.4242561406845337,2,0,0,1,1,0,0,0,1
0,-0.6100963453267019,-0.4888542575852486,0,0,0,1,0,1,0,0,1
0,2.0220850406967594,-0.030371322596999754,0,1,0,0,0,1,1,0,0
0,-0.8357118927001413,-0.4902797934380587,2,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.13565761536436197,4,0,0,1,0,1,0,0,1
0,1.5708539459498805,-0.07030444769415023,0,1,0,0,1,0,1,0,0
0,0.06675029679361683,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,0.5179813915404959,-0.6484216535389205,0,0,0,1,0,1,0,0,1
0,-0.5724937540977952,0.7519458402879414,10,0,0,1,1,0,0,0,1
0,0.06675029679361683,-0.34539461138084326,0,1,0,0,0,1,0,1,0
0,-1.51255853482046,-0.016444159470040135,6,0,0,1,0,1,0,0,1
1,-2.1141999944829655,0.13683114673782454,3,0,0,1,0,1,0,1,0
1,-1.8885844471095259,-0.20495516825442542,2,0,0,1,1,0,0,0,1
0,0.8188021213717487,0.3583127057902398,0,0,0,1,0,1,1,0,0
1,-0.5724937540977952,-0.3363340021468808,1,0,1,0,1,0,0,0,1
1,1.1948280336608146,-0.11384570873513637,0,0,0,1,0,1,1,0,0
0,0.8188021213717487,-0.3363340021468808,2,0,1,0,0,1,0,0,1
0,0.5179813915404959,-0.4894421904510968,0,0,0,1,0,1,0,0,1
1,0.2171606617092432,-0.3866707201133388,0,0,0,1,1,0,0,1,0
0,-0.7605067102423282,-0.3866707201133388,0,0,0,1,0,1,0,1,0
1,-0.7605067102423282,-0.4902797934380587,1,0,0,1,1,0,0,0,1
1,-1.9637896295673392,-0.12491978668775715,2,0,0,1,0,1,0,1,0
1,1.1196228512030013,-0.09027201697708476,0,1,0,0,1,0,1,0,0
1,2.172495405612386,2.301728820789,0,1,0,0,1,0,1,0,0
0,-0.3092756154954491,-0.49237782784290063,0,0,1,0,0,1,0,0,1
0,0.969212486287375,-0.47920571548543794,1,0,0,1,0,1,0,0,1
1,-0.5724937540977952,-0.49237782784290063,0,0,1,0,1,0,0,0,1
0,-0.3844807979532623,-0.3866707201133388,0,0,0,1,1,0,0,1,0
0,-0.08366006812200955,-0.45714212526638004,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,0.7519458402879414,10,0,0,1,0,1,0,0,1
0,0.36757102662486957,-0.5176307525123133,0,0,0,1,0,1,0,0,1
0,1.2324306248897212,-0.5029485386158568,0,1,0,0,0,1,0,0,1
1,-0.8357118927001413,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-2.038994812025152,-0.43776248884929375,1,0,0,1,1,0,0,0,1
0,0.2171606617092432,-0.32928686163157667,1,0,0,1,0,1,0,0,1
1,-0.23407043303763592,-0.2701412180209885,0,1,0,0,0,1,0,0,1
1,-0.9861222576157678,-0.49237782784290063,0,0,1,0,1,0,0,0,1
1,0.8188021213717487,-0.024246350754841113,0,1,0,0,0,1,1,0,0
0,-0.3844807979532623,-0.5064721088735089,0,0,0,1,0,1,0,0,1
1,0.4427762090826827,-0.22559322262067316,0,0,0,1,1,0,0,1,0
0,-0.5348911628688886,-0.5024451714361923,0,0,0,1,0,1,0,0,1
0,0.06675029679361683,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,-0.3092756154954491,-0.49237782784290063,1,0,1,0,0,1,0,0,1
1,0.14195547925143,1.6323350375212924,1,1,0,0,1,0,1,0,0
1,-0.15886525057982273,-0.4888542575852486,0,0,0,1,1,0,0,0,1
0,0.969212486287375,-0.10478509950117394,1,0,0,1,0,1,0,1,0
1,0.2171606617092432,0.8876878608937296,0,1,0,0,1,0,1,0,0
0,0.06675029679361683,-0.43700743807979686,0,0,0,1,0,1,0,1,0
1,-0.9861222576157678,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.15886525057982273,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,1.6460591284076938,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,-0.3092756154954491,-0.4894421904510968,0,0,0,1,0,1,0,0,1
1,0.6683917564561223,1.163700193253568,1,0,0,1,0,1,1,0,0
0,-0.5348911628688886,-0.4601623283443675,0,0,0,1,0,1,0,0,1
1,-0.7605067102423282,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.6476989365556084,-0.5024451714361923,0,0,0,1,0,1,0,0,1
0,-0.8357118927001413,-0.3866707201133388,0,0,0,1,0,1,0,1,0
0,-0.5724937540977952,-0.13565761536436197,4,0,0,1,1,0,0,0,1
1,0.4427762090826827,1.0323213593611125,1,0,0,1,1,0,1,0,0
0,-0.008454885664196365,-0.4918744606632361,0,0,0,1,0,1,0,0,1
0,2.2477005880701992,-0.3766033765200472,0,0,0,1,0,1,0,1,0
1,-1.8133792646517128,-0.016444159470040135,6,0,0,1,1,0,0,0,1
0,-0.3844807979532623,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.5724937540977952,-0.49640476528021726,0,0,0,1,1,0,0,0,1
0,1.1196228512030013,-0.12491978668775715,1,0,0,1,0,1,0,1,0
1,-1.5877637172782733,-0.11988611489111134,2,0,0,1,1,0,0,1,0
0,-0.7605067102423282,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,0.29236584416705635,-0.4012683683236117,0,0,0,1,0,1,0,1,0
0,-0.5724937540977952,-0.3573908580066095,1,1,0,0,1,0,0,0,1
1,-0.5724937540977952,-0.3363340021468808,1,0,1,0,1,0,0,0,1
0,-0.008454885664196365,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.5348911628688886,-0.5049620073345151,0,0,0,1,0,1,0,0,1
0,0.06675029679361683,-0.5029485386158568,0,1,0,0,0,1,0,0,1
0,1.1196228512030013,1.163700193253568,2,0,1,0,0,1,1,0,0
0,-0.3092756154954491,-0.4918744606632361,0,0,0,1,1,0,0,0,1
1,-0.3844807979532623,-0.35646868933346404,2,0,0,1,1,0,0,1,0
1,0.5931865739983091,0.40974072380221066,2,0,0,1,0,1,1,0,0
0,1.8716746757811333,-0.12491978668775715,1,0,0,1,0,1,0,1,0
0,-0.3092756154954491,-0.5024451714361923,0,0,0,1,0,1,0,0,1
0,-0.008454885664196365,-0.43776248884929375,2,0,0,1,1,0,0,0,1
0,2.4733161354436386,-0.11384570873513637,0,0,0,1,0,1,1,0,0
0,0.06675029679361683,-0.32425318983493084,1,0,0,1,0,1,0,0,1
0,0.8940073038295618,-0.2414492887801075,2,0,0,1,1,0,0,0,1
1,-0.008454885664196365,-0.3414522396297103,2,1,0,0,1,0,0,0,1
1,0.4427762090826827,0.9462455716384695,0,1,0,0,1,0,1,0,0
1,0.06675029679361683,1.093228788100527,0,0,0,1,1,0,1,0,0
1,0.4427762090826827,9.667166525013505,0,1,0,0,1,0,1,0,0
1,1.5708539459498805,-0.12491978668775715,1,0,0,1,1,0,0,1,0
0,-0.3092756154954491,-0.49237782784290063,0,0,1,0,0,1,0,0,1
1,-1.9637896295673392,-0.016444159470040135,6,0,0,1,0,1,0,0,1
0,1.7212643108655068,0.955306180872432,2,0,0,1,0,1,1,0,0
0,0.8188021213717487,-0.6484216535389205,0,0,0,1,0,1,1,0,0
0,-0.5724937540977952,-0.49237782784290063,0,0,1,0,1,0,0,0,1
0,0.5179813915404959,-0.43700743807979686,0,0,0,1,0,1,0,1,0
0,-0.9861222576157678,0.1506737441786005,5,0,0,1,0,1,0,0,1
1,-0.3092756154954491,-0.4918744606632361,1,0,0,1,0,1,0,0,1
1,2.172495405612386,2.441497778832105,1,0,0,1,1,0,1,0,0
1,0.4427762090826827,2.0825124140450755,0,0,0,1,1,0,1,0,0
0,0.8188021213717487,-0.024246350754841113,0,0,0,1,0,1,1,0,0
1,-0.3092756154954491,-0.6484216535389205,0,0,0,1,0,1,0,0,1
1,0.8940073038295618,-0.255795253400548,1,0,0,1,1,0,0,1,0
0,0.5931865739983091,-0.05042144409739929,1,1,0,0,0,1,1,0,0
1,-0.5724937540977952,-0.49237782784290063,0,0,1,0,1,0,0,0,1
1,2.548521317901452,0.921244330558889,1,0,0,1,1,0,1,0,0
0,1.1948280336608146,-0.49237782784290063,0,0,0,1,1,0,0,0,1
0,0.06675029679361683,-0.6484216535389205,0,0,0,1,0,1,0,1,0
0,-1.6629688997360863,-0.06199888922968463,5,0,1,0,0,1,0,0,1
1,0.4427762090826827,-0.24069423801061057,2,0,0,1,1,0,0,0,1
0,2.6989316828170784,-0.49237782784290063,0,0,1,0,0,1,0,0,1
0,-0.08366006812200955,-0.4902797934380587,0,0,0,1,0,1,0,0,1
0,-0.9861222576157678,-0.45714212526638004,0,0,0,1,0,1,0,0,1
1,-0.7605067102423282,-0.4863374216869257,0,0,0,1,0,1,0,0,1
0,0.8188021213717487,-0.12491978668775715,0,0,0,1,0,1,1,0,0
0,0.29236584416705635,-0.47400492578514347,0,1,0,0,0,1,0,0,1
1,0.06675029679361683,-0.45714212526638004,0,0,0,1,0,1,0,0,1
0,-0.5348911628688886,-0.4894421904510968,0,0,0,1,0,1,0,0,1
1,0.969212486287375,-0.3866707201133388,0,0,0,1,0,1,0,1,0
1,-0.5348911628688886,-0.49237782784290063,0,0,1,0,1,0,0,0,1
1,-0.23407043303763592,0.9391984311231651,0,0,0,1,1,0,1,0,0
1,-0.7605067102423282,1.1854295476653287,1,1,0,0,1,0,1,0,0
0,0.5179813915404959,-0.3891875560116617,0,1,0,0,0,1,0,1,0
0,-0.3844807979532623,-0.4702296719376591,0,0,0,1,1,0,0,0,1
0,-0.3844807979532623,-0.4894421904510968,0,0,0,1,0,1,0,0,1
